ID	Chr	Strand	SS1_pos	SS2_pos	SS3_pos	SS4_pos	Tissue1	Tissue2	Label	AE_pred	TrASPr_pred
WEeYKhebviY	14	+	100123602	100126707	100126771	100128519	HepG2	Brain_Cerebellum	0.9857491740938158	0.97052056	0.96913135
WEeYKhebviY	14	+	100123602	100126707	100126771	100128519	HepG2	Cells_EBV_transformed_lymphocytes	0.9857491740938158	0.9644556	0.9716271
WEeYKhebviY	14	+	100123602	100126707	100126771	100128519	HepG2	Lung	0.9857491740938158	0.96323055	0.97184134
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Brain_Cerebellum	0.9596624671348242	0.98527133	0.81042063
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Heart_Atrial_Appendage	0.9596624671348242	0.98083925	0.8245586
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Liver	0.9596624671348242	0.9766692	0.83282185
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Spleen	0.9596624671348242	0.9783433	0.86389667
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Cells_EBV_transformed_lymphocytes	0.9596624671348242	0.9798227	0.85599154
g-eY1EPG_aU	14	+	24164134	24164614	24164955	24165847	HepG2	Lung	0.9596624671348242	0.9793935	0.8441318
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	Brain_Cerebellum	0.9690097391947838	0.98707944	0.890598
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	Heart_Atrial_Appendage	0.9690097391947838	0.9853279	0.9158764
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	Spleen	0.9690097391947838	0.9850429	0.9036666
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	Cells_EBV_transformed_lymphocytes	0.9690097391947838	0.9851003	0.86059207
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	K562	0.9690097391947838	0.98486924	0.86733645
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	K562	HepG2	0.9676596439831775	0.9805807	0.88887465
TtHnoW09tGk	14	-	77453299	77451333	77451187	77449752	HepG2	Lung	0.9690097391947838	0.9851576	0.890598
6CB1HuiSfjs	14	+	75622220	75624612	75624752	75633629	HepG2	Spleen	0.9050862499125025	0.98486924	0.8948561
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	K562	Brain_Cerebellum	0.918138584009077	0.98544043	0.9274336
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	HepG2	Spleen	0.9555968159409047	0.98752034	0.94570655
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	K562	Spleen	0.918138584009077	0.9885361	0.95128787
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	HepG2	Cells_EBV_transformed_lymphocytes	0.9555968159409047	0.98588216	0.9563179
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	HepG2	K562	0.9555968159409047	0.9853843	0.95154345
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	K562	HepG2	0.918138584009077	0.98844737	0.94867915
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	HepG2	Lung	0.9555968159409047	0.9874236	0.9460987
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	K562	Cells_EBV_transformed_lymphocytes	0.918138584009077	0.9869795	0.94650793
6AAI7VAfDtA	8	+	47291137	47293867	47294030	47396376	K562	Lung	0.918138584009077	0.98840266	0.9507548
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	HepG2	Brain_Cerebellum	0.9878115651182888	0.98201376	0.94568074
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	K562	Brain_Cerebellum	0.9826686546928958	0.98314995	0.9452217
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	HepG2	Heart_Atrial_Appendage	0.9878115651182888	0.9845754	0.9464518
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	K562	Heart_Atrial_Appendage	0.9826686546928958	0.98555213	0.9491979
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	HepG2	Liver	0.9878115651182888	0.9861514	0.9486281
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	K562	Liver	0.9826686546928958	0.9868787	0.94916964
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	HepG2	Spleen	0.9878115651182888	0.98582757	0.948905
eGSV2urWMYg	8	-	116755666	116726172	116726016	116658980	K562	Spleen	0.9826686546928958	0.98662347	0.94859964
